move_num,color_next,winrate_B,winrate_W,LZ_next_move,variation,actual_next_move,LZ_all_next_moves
0,B,43.36,56.64,D16,"D16 Q4 D4 Q16 O17 F17 O3 F3 R14 Q14 Q13 P14 R16",C4,D16 Q4 Q16 D4 C4 C16 D17 D3 R16 Q17 Q3 R4 
1,W,43.12,56.88,Q16,"Q16 E4 Q3 D17 C15 F16 D11 R17 Q17",Q16,Q16 Q3 C16 Q4 D17 D16 C17 R3 R17 R4 
2,B,43.57,56.43,D16,"D16 Q3 R5 R4 Q5 O3 O17 R14 F4 R9 N5 P8 N8 O10 F17",D17,D16 R4 E4 D17 R17 Q4 F3 F4 Q3 
3,W,43.05,56.95,Q4,"Q4 R17 Q17 R16 Q15 S14 E4 D15 C5 B5 D5 B6",Q4,Q4 Q3 R3 R4 D15 C15 E4 
4,B,43.36,56.64,R17,"R17 Q17 R16 Q15 S14 E4 D15 C5 B5 D5 B6 C3 B3 D4 B4 C2",O3,R17 R3 E4 D15 F4 D14 C14 F3 O17 
5,W,42.37,57.63,E4,"C15 F4 E16 E17 F16 G17 P3 O4 Q6 K4 H3 H4 J3 J4 F3",R6,E4 C15 D15 E3 R6 P3 
6,B,43.40,56.60,R17,"E4 D15 C15 C14 C16 D14 F17 D10 R17 R16 Q17 O17 P17 P16",C12,R17 C14 E4 F4 F3 D14 D15 Q3 
7,W,41.47,58.53,E4,"E4 E3 F3 D3 F4 D6 K4 Q3 R3 R2 P3 Q2 P2 P4 O2 R4 Q5 S4 N3 Q7 R7 Q9 C8 C7 D15 F17 E16 E17 C16 C17 B17 C14",E4,E4 E3 P3 D16 
8,B,41.30,58.70,E3,"E3 F3 D3 F4 D6 K4 Q2 D16 E17 C16 C17 B17 E16 B15 D15 E15 C15 B16 D13 C18 D18",H4,E3 D3 E5 D6 R17 
9,W,38.35,61.65,D7,"D7 E3 F3 D3 F5 C6 G7 L4 O17 D15 E13 D11 J16 R14",C3,D7 C3 D16 C5 E6 D6 
10,B,39.99,60.01,B3,"B3 D3 B5 E7 C7 C6 D7 E6 G3 E9 D6 D5 C5 B2 A2",B3,B3 D6 D3 
11,W,39.94,60.06,D3,"D3 B5 E7 C7 H3 J3 G3 J4 O17 N16 O16 N14 D16 E17 C16 C17 B17",D3,D3 D16 
12,B,40.22,59.78,B5,"B5 E7 C7 H3 J3 G3 J4 O17 N16 O16 N14 D16 E17 C16 C17 B17 E16 D14",B5,B5 D6 C6 
13,W,39.35,60.65,E7,"E7 C7 H3 G3 G2 G4 F2 J3 H2 L4 O17 N16 O16 N14 D16 E17 C16 C17 B17",E6,E7 H2 E6 D16 K3 C6 F6 G4 H3 G3 L3 
14,B,41.63,58.37,F5,"F5 F4 D7 E7 D8 E8 E9 D9 F9 C6 B7 D16",D7,F5 D7 
15,W,39.11,60.89,H2,"H2 Q3 R3 R2 P3 Q2 P2 P4 O2 R4 Q5 S4 N3 O4 N4 P6 N6 O6",E7,H2 E7 K3 D16 L3 
16,B,41.11,58.89,F5,"F5 D4 C6 H2 K3 D16 E17 C16 C17 B17 E16 B15 D15 E15 C15 B16 D13 C18 D18 C19 F15 E14",D8,F5 D8 E8 G3 L4 
17,W,37.61,62.39,E8,"E8 D9 K3 F5 D4 K4 L4 K5 C5 B4 C6 B6 C7 B2 E9",L4,E8 K3 L3 H2 D16 
18,B,40.09,59.91,F9,"F9 H6 J6 H7 J5 N4 J7 G9 F8",H6,F9 F5 G7 H6 G3 K4 J6 H7 F3 Q3 G6 
19,W,36.59,63.41,E8,"E8 D9 E9 G9 H2 J3 J2 K3 L3 K2 L2 G3",E8,E8 H2 H3 F9 
20,B,36.23,63.77,D9,"D9 E9 G9 H2 J3 J2 K3 L3 K2 L2 G3 G2 F3 F2 E3",D9,D9 E9 F5 D5 
21,W,35.96,64.04,E9,"H2 J3 G3 Q3 R3 R2 P3 Q2 P2 P4 O2 R4 Q5 S4 O4 P5 P6 O5 N3 O6 P7 O7 O8 M6 P9 K6 M8 R14",H8,E9 H2 H8 J5 H3 K3 B2 D16 
22,B,38.64,61.36,J8,"J8 H2 J9 P3 O17 R14 H16 F10 H9 G8 K6 K3 M5",J8,J8 F3 J7 F5 G3 F10 K7 L6 E9 
23,W,37.28,62.72,H2,"H7 J7 J6 H9 K6 G6 G8 K3 L3 K4 J9 L7 L6 F3 F4",J5,H2 H7 J5 J9 H9 J7 D16 E9 K3 
24,B,42.16,57.84,G3,"G3 J9 J7 K9 L7 N4 H9 G8 H10 H5 G5 G6 G7 F6 K3 J4 J3 L5",H5,G3 H5 J4 J6 F5 K5 
25,W,35.90,64.10,H7,"H7 J7 J6 J4 L6 L3 M3 L2 J9 L8 K9 L7 M6 K4 L5 M2 M9 N7 K7 R17",H7,H7 H2 J7 J9 H9 
26,B,37.92,62.08,F5,"F5 J7 E5 H2 J2 J3 G2 K2 H3 J1 J6",J7,F5 J7 J6 
