move_num,color_next,winrate_B,winrate_W,LZ_next_move,variation,actual_next_move,LZ_all_next_moves
0,B,43.36,56.64,Q4,"Q4 D16 D4 Q16 C14 C6 O17 R6 F17 F16 G16 F15 E17 D17 D13 B15",C4,Q4 Q16 D4 D16 D3 D17 C4 R4 R16 Q3 C16 Q17 
1,W,43.12,56.88,D16,"D16 Q4 Q16 F3 R6 O3 R4 R3 S3 R5 S4 Q6 S5 Q5 R7 C17 C16 D17 E17 E18 F18 F17",D16,D16 Q16 Q3 C16 Q4 D17 C17 R17 R3 R4 
2,B,43.42,56.58,R4,"R4 Q16 E4 P3 Q6 F4 E3 L4 R17 R16 Q17 O17 P17 P16 O18",R3,R4 Q4 Q3 Q16 E4 F3 F4 
3,W,42.87,57.13,Q17,"R16 P17 Q17 P16 R14 C14 F17 F4 L17 P13 M15 M13 K14 D10 L12 E14 N11 P11 O4 Q6 K3",R16,Q17 R16 Q16 E3 R17 
4,B,43.51,56.49,C17,"P17 Q15 M17 E3 D6 J4 C14 C15 D14",F3,C17 P17 F4 E4 F3 C14 F17 P16 
5,W,41.57,58.43,D4,"D4 D5 C3 D3 E4 E3 C5 B4 D6 E5 F4 C6 G3 B5 F5 G2 H2 H3 G4 F2",O16,D4 O17 P16 O16 
6,B,43.16,56.84,C17,"C17 D4 D5 C3 D3 E4 E3 C5 B4 D6 E5 F4 C6 G3 B5 F5 G2",C17,C17 C14 F17 M17 O4 Q6 Q10 R10 
7,W,43.05,56.95,C16,"C16 D17 F17 F18 G18 E17 F16 E16 E15 D15 B15 D14 E14 E13 E18 F15 F14 G15 G14 H14 F12 B17 H15 G16 G17 H16 D13 C14 J15 J16 K16 K15",D17,C16 D17 D4 
8,B,42.83,57.17,C16,"C16 C14 B14 D4 D5 B13 C15 D14 D15 E15 E16",C16,C16 Q17 
9,W,42.46,57.54,C14,"C14 C15 D15 B14 D4 D3 C5 B4 D5 E4 E5 F5 F6 G5 G6 H6 H5 B5 G3 E6 G4 F4 F2 E3 J5 H7 G8 H8 F8 J3 K3 K4 J4 L3 K2 K5",C14,C14 D15 
10,B,42.41,57.59,C15,"C15 D15 B14 D4 D3 C5 B4 D5 E4 C3 B5 C7 C2 C18 B18 B15 D18 B17 C19 B16 C18 B13 D14 C13 F17",C15,C15 B14 
11,W,42.26,57.74,D15,"D15 B14 D4 D3 C5 B4 D5 B5 E3 E2 E4 C2 Q10 C13 D14 C18 R6 O4 M3 H17 P3 P4 O3 N4 N3",D15,D15 D4 
12,B,42.18,57.82,B14,"B14 D4 D3 C5 B4 D5 E4 E5 F5 F6 G5 G6 H6 H5 B5 G3 E6 G4 F4 F2 E3 J5 H7 G8 H8 F8 J3 K3 K4 J4 L3 K2 K5 J6 K7 K6 L6 J2 D7 L7 J7 H3 H10 C13",B14,B14 D18 
13,W,41.50,58.50,D4,"D4 D3 C5 B4 D5 E4 E5 F5 F6 G5 G6 H6 H5 B5 G3 E6 G4 F4 F2 E3 J5 H7 G8 H8 F8 J3 K3 K4 J4 L3 K2 K5 J6 K7 K6 L6 J2 D7 L7 J7 H3 H10 C13",C18,D4 C13 C18 R6 Q10 Q4 R7 K16 Q6 L16 
14,B,43.73,56.27,B18,"B18 B15 D18 B17 C19 B16 C18 B13 D14 C13 F17 F14 H16 C6 R10 E6 O4 R8 R6 R12 P10 P8 P12 Q5 Q6 Q3 R4 P5 O7",B18,B18 M17 
15,W,43.67,56.33,B15,"B15 D18 B17 C19 B16 C18 B13 D14 C13 F17 F14 H16 C6 R10 E6 O4 K17 F12 D13 E14 E13 E15 G16 G17 H15",B13,B15 D4 B13 
16,B,46.30,53.70,D14,"D14 C13 D18 E18 C19 F17 M17 J17 Q16 Q17 P17 P16 Q15 R17 O17",D18,D14 D18 
17,W,44.47,55.53,E18,"E18 D14 C13 C19 F17 J16 E12 M17 C6 Q16 Q15 Q17 R17 R18 R14 P18 E6 Q13 O18",E18,E18 D14 D13 B15 
18,B,45.62,54.38,D14,"D14 C13 C19 F17 J16 E12 M17 C6 Q16 Q15 Q17 R17 R18 R14 P18 E6 Q13 O18 N18 P16 O19",D14,D14 C13 C19 
19,W,45.54,54.46,C13,"C13 C19 F16 R10 Q10 R9 Q11 R11 R12 S12 R13 S13",C13,C13 D13 
20,B,45.50,54.50,C19,"C19 F16 R10 Q10 R9 Q11 R11 R12 S12 R13 S13 R14 O4",C19,C19 Q17 
21,W,44.48,55.52,F16,"F16 R10 Q10 R9 Q11 R11 R12 S12 R13 S13 R14 O4 P8 Q7",E14,F16 F17 E12 C10 E14 H17 D4 
22,B,45.72,54.28,D13,"D13 C11 E13 F14 E11 F13 F12 G12 G11 H12 H11 J12 J11 K12 D9",Q10,D13 R10 M17 Q9 M4 N4 L4 R9 Q10 Q6 Q7 O4 Q5 P4 
23,W,42.67,57.33,F11,"F11 R14 C6 O4 E6 M17 R8 R6 R12 Q12 R11",F11,F11 G10 G11 R8 C6 O4 H10 Q4 D4 N4 M4 F10 L6 L4 
24,B,43.42,56.58,M17,"R14 R5 P4 R8 S10 S3 S2 S4 N3 C6 E5 B4 B5 C5",D8,M17 R14 Q6 R13 Q5 F13 D11 N4 Q7 O4 M4 P4 
25,W,40.66,59.34,R8,"R8 R6 P8 P6 Q12 O10 N8 M10 M4 S10 P4 N6 L8 L6 K4",R8,R8 R12 Q12 O4 D6 R5 Q4 D4 E4 
26,B,41.41,58.59,D11,"D11 E12 R6 P9 P10 O9 O10 N9 N10 M9 R14 Q5 Q6 R5 S6 Q3 Q2 S5",R6,D11 R6 Q5 R5 F13 R14 
27,W,39.46,60.54,P9,"P9 P10 O9 P7 Q9 R10 R13 N11 M9 L11 K9 P13 P5 R7 Q3 R4 M3",P8,P9 P8 Q5 
28,B,41.00,59.00,P6,"P6 Q3 R4 N3 L3 R2 S2 P2 R1 Q12 L5 O10 M17 M16 L16 M15 N18 O18",R9,P6 D11 O10 R9 R13 R14 Q12 M4 Q13 N4 F13 M17 
29,W,34.68,65.32,D4,"Q4 R4 Q5 P2 S8 Q6 P6 R13 O10 P12 N12 S15",Q5,D4 Q5 Q4 D6 R7 P10 S9 O4 S8 P4 E4 Q9 P3 
30,B,38.58,61.42,P4,"P4 S8 R5 Q12 O10 N8 M10 L8 N13 R11 S9 O12 N12 O13 N14 M16 M5 K10 K12",Q6,P4 O3 P3 D11 Q6 S8 
31,W,36.45,63.55,Q3,"Q3 Q2 R4 P3 Q4 R2 O5 N4 Q9 R10 S8 N5 P6 R14 H3 G5 L3 J4",Q3,Q3 Q9 P6 R5 
32,B,36.76,63.24,Q2,"Q2 R4 P3 Q4 R2 O5 N4 Q9 R10 S8 O7 O4 O3 P7 P9 Q8 O8 P6",R4,Q2 R4 Q4 D11 
33,W,33.69,66.31,P6,"P6 P5 Q4 P7 O6 O7 Q7 N6 O5 R5 N5 N7 O9 M5 M4 L4 N3 M3 N4 L5 S8 O10 N10 N9",Q4,P6 Q4 Q9 S9 P10 
34,B,36.35,63.65,P6,"P6 Q9 P9 Q8 R10 N4 O9 O8 N8 N7 O7 N9 M8 P10 O10 P11 O11 P12 S8",P6,P6 O6 S7 R5 
35,W,35.34,64.66,Q9,"Q9 P9 Q8 R10 N4 O9 O8 N8 N7 O7 R5 S5 S4 S3 S6 T4 S7 N6 M7 M6 N9 M8 L7 L8 P10 O10",Q9,Q9 M3 R5 R2 N4 
36,B,36.31,63.69,P9,"P9 Q8 R10 N4 O8 R5 S5 S6 S7 S4 T6 S3 M17 O18 Q14 H3 F5 D6 C6 D4 C5 D2 E2",P9,P9 R10 S7 P10 O4 S10 S8 
37,W,36.14,63.86,Q8,"Q8 R10 N4 O8 R5 S5 S6 S7 S4 T6 S3 M17 O18 Q14 D6 C6 D4 C5 D3 D5 F4 G4 E5 C3",Q8,Q8 R5 
38,B,36.05,63.95,R10,"R10 N4 O8 R5 S5 S6 S7 S4 T6 S3 M17 O18 Q14 D6 C6 E4 D5 E3 H3 F2 L3 G3",R10,R10 S7 P10 O4 S10 
39,W,35.04,64.96,N4,"N4 M5 M4 N5 L5 O9 O8 N8 N7 N9 O6",R5,N4 O9 R5 N8 R2 P10 M3 N9 D4 S7 M4 
40,B,36.86,63.14,S5,"S5 S6 S7 S4 T6 S3 O9 D6 D11 E12 F13 E13 C6 D4 C5 D3 D5 F4",S5,S5 S6 
41,W,35.44,64.56,S6,"S6 S7 S4 T6 S3 O9 D6 D11 E12 F13 E13 C6 O8 N8 N7 O7 N9",S6,S6 R2 S4 O9 
42,B,35.56,64.44,S7,"S7 S4 T6 S3 O9 D6 D11 E12 F13 D13 F8 F6 E5 E6 G10 G4",S7,S7 S4 
43,W,35.35,64.65,S4,"S4 T6 S3 O9 D6 D11 E12 F13 D13 F8 F6 E5 E6 G10 G4",S4,S4 O9 
44,B,35.06,64.94,T6,"T6 S3 O9 P11 R13 O8 N9 N8 R2 S2 M8 O6 P5 Q2 M6 M5 L5 N6 M4 M7 N5 L8 M9 L6",T6,T6 T5 
