move_num,color_next,winrate_B,winrate_W,LZ_next_move,variation,actual_next_move,LZ_all_next_moves
0,B,43.43,56.57,D4,"D4 Q16 D16 Q4 O17 F17 R6 F3 R14 Q14 Q13 P14 R15 R16 N16 P18",C4,D4 D16 Q4 Q16 C16 R16 C4 D3 Q3 D17 R4 Q17 
1,W,43.11,56.89,D16,"D16 Q4 Q16 F3 R6 O3 R4 R3 S3 R5 S4 Q6 S5 Q5 R7 C17 C16 D17 E17 E18 F18",Q4,D16 Q16 Q3 C16 Q4 D17 C17 R3 R17 R4 
2,B,43.57,56.43,D16,"D16 Q16 F4 F17 O17 C17 D17 C16 D15 D18 E18 C18 R14 O16 N16 O15 Q17 R17 P17 R16 Q13 O13 Q11 C14 S15 S13 R9 L16",D17,D16 D17 E4 Q16 F4 R16 
3,W,43.13,56.87,Q16,"Q16 R17 R16 Q17 P16 O18 E4 D14 C5 B5 D5 B6",Q16,Q16 Q17 R17 R16 E4 
4,B,43.44,56.56,R17,"R17 R16 Q17 P16 O18 E4 D14 C5 B5 D5 B6 C3 B3",E3,R17 E4 R3 D15 F4 D14 C14 F3 O17 
5,W,42.42,57.58,D15,"D15 C15 C14 C16 D14 F17 C5 D5 C6 B4 D10 R3 Q3 R4 R6 R5 Q5 S6",D15,D15 C15 F4 O17 
6,B,42.92,57.08,C15,"C15 C14 C16 D14 F17 C5 D4 D9 R17 R16 Q17 P16 O18 O3 R9 R11 R6 R5",C15,C15 R17 C16 C12 R3 O3 F16 D12 C13 R6 O17 
7,W,42.97,57.03,C14,"C14 C16 D14 F17 C5 D5 C6 B4 D6 E5 D10 R3 Q3 R4 R5 S5 S6 R6 Q5 S7 S4 T6 S3 R14 R15 Q14 O17 Q6 F3 H3 E2 D3 G4",C14,C14 D16 
8,B,43.19,56.81,C16,"C16 D14 F17 C5 D5 C6 B4 D6 E5 D10 R3 R4 Q3 O3 P3 P4 O2 S3 S2 P2 P1 N2 Q2 N3 R17",C16,C16 B15 
9,W,43.13,56.87,D14,"D14 F17 C5 D5 C6 B4 D10 R17 R16 Q17 O17 P17 P16 O18 D6 E5 O3 R9 F3 H3 E2 D3",D13,D14 D13 
10,B,46.04,53.96,R17,"R17 Q17 R16 R14 R15 Q15 S14 F16 E15 E16 D16 D14 F18 G17 G18 J17 R3 Q3 R4 R5 S5 S6",F17,R17 O3 R3 O17 C12 C10 R14 E14 R6 F16 F17 D10 
11,W,42.40,57.60,C5,"E16 E14 E13 F16 F14 F15 G14 R3 Q3 R4",C5,C5 E16 C9 F4 D9 O3 B4 
12,B,42.46,57.54,D5,"D5 C6 B4 D16 C17 D10 R17 R16 Q17 P17 P18 O18",D5,D5 D4 B5 
13,W,42.35,57.65,C6,"C6 B4 E16 E14 D14 G18 D6 E5 D10 R3 Q3 R4 R5",C6,C6 D6 
14,B,42.38,57.62,B4,"B4 D6 E5 D10 R17 R16 Q17 P17 P18 O18 O17 P16 N18 Q18 O19 R18 Q3 R3 P3 R4 M3 O4 O3 Q9 O16 F3 F4 G3",B4,B4 D6 D4 
