move_num,color_next,winrate_B,winrate_W,LZ_next_move,variation,actual_next_move,LZ_all_next_moves
0,B,43.38,56.62,Q16,"Q16 D4 D16 Q4 R6 R14 C6 C14 F3 F4 G4 F5 D3",Q4,Q16 D16 Q4 D4 Q17 D17 Q3 R16 D3 C16 C4 R4 
1,W,43.40,56.60,D16,"D16 Q16 D4 C3 D3 C4 D5 C6 C5 B5 C2 F17 C8 C14 F16 G16",D4,D16 Q16 D4 
2,B,43.93,56.07,D16,"D16 R16 P17 Q14 C3 C4 D3 F3 E3 E4 F2 R3 R4 Q3 O3 P3",Q17,D16 Q16 C3 Q17 R16 
3,W,43.17,56.83,D16,"D16 C17 D17 C16 D15 B14 O3 Q14 R3 Q3 R4 Q5 Q2 P2 R2 C3 D3 C4 D5",D16,D16 D17 C16 C17 
4,B,43.67,56.33,C17,"C17 D17 C16 D15 B14 O3 Q14 R3 Q3 R4 Q5 Q2 P2 R2 H17 L17 H15 O17 C3 D3 C4 D5 C5 D6 C6",F3,C17 C3 R14 C14 Q14 F17 Q15 
5,W,42.88,57.12,R3,"R3 Q3 R4 R6 R5 Q5 S6 C6 D6 D7 E6 C4 C3 C5 F4 D5 E4 B3",C6,R3 C6 R15 O3 H3 E3 R6 
6,B,43.46,56.54,C17,"C17 C16 D17 F17 E17 E16 F18 R3 R4 Q3 O3 P3 P4 O2 Q14 G17 G18 H17 S3",R12,C17 Q15 O3 D3 F17 R14 Q14 C14 
7,W,42.30,57.70,R3,"R3 R4 Q3 P4 O2 F17 C14 D17 C17 C18 E17 D18 E16 E18 E3 F4 N3 F16",R6,R3 O3 F17 Q16 C14 
8,B,44.10,55.90,R5,"R5 Q6 O4 Q9 P10 Q16 P17 R16 R17 S17 P16 S15",R5,R5 O3 C17 F17 Q15 S5 D3 R8 
9,W,44.21,55.79,Q6,"Q6 O4 Q9 P10 R10 P9 Q16 P17 R16 R17",Q6,Q6 Q16 
10,B,44.35,55.65,O4,"O4 Q9 P10 O8 Q10 R9 R10 M3 M4 L4 M5 O3 L3",O4,O4 O3 
11,W,43.51,56.49,Q9,"Q9 P10 O8 L4 Q16 P17 R16 R17 S17 P16 Q14",Q9,Q9 Q16 R10 Q10 R9 M3 
12,B,44.36,55.64,P10,"P10 O8 C17 D17 C16 C14 C15 D15 B14 M3 Q10 R9 S6 S7 Q15",R10,P10 Q15 P12 C17 R10 D3 F17 L4 C14 
13,W,42.91,57.09,Q16,"M3 M4 L4 M5 N2 R9 R8 O9 L5 L6 K6 L7 K7 L8 E3",E3,Q16 M3 Q10 R9 N7 O9 
14,B,43.95,56.05,F4,"F4 M3 D5 C5 C3 E4 F5 E2 K3 E5 N6 P2 P3 O2",F4,F4 R9 Q10 O9 P10 
15,W,43.68,56.32,M3,"M3 M4 L4 M5 N3 O3 H3 R9 R8 O9 L5 L6 K6 K7 J6 L7 J7",K3,M3 Q16 Q10 O2 N7 R9 H3 
16,B,45.81,54.19,M3,"M3 K5 F7 H6 D7 E6 F6 E7 E8 E5 F5",M3,M3 D5 R9 Q10 F7 
17,W,44.97,55.03,K5,"H3 F7 H6 D7 E6 G5 E7 J4 M4 N4 M5 K5 L3 M2 N6 E8 F8 G7 F9 E9 E10",H3,K5 H3 J6 F6 O2 Q16 
18,B,45.56,54.44,F7,"F7 H6 D7 E6 G5 E7 J4 M4 N4 M5 K5 L3 M2 N6 E8 F8 G7 F9 E9 E10 D10 F10 C9 E5 J6",F7,F7 R9 Q10 F6 G6 G7 F17 H6 N7 C14 H4 
