move_num,color_next,winrate_B,winrate_W,LZ_next_move,variation,actual_next_move,LZ_all_next_moves
0,B,43.38,56.62,D4,"D4 Q16 Q4 D16 R14 R6 C14 C6 O17 O16 N16 O15 Q17",D4,D4 Q16 D16 Q4 Q17 D17 R16 C4 R4 C16 Q3 D3 
1,W,43.44,56.56,Q16,"Q16 Q4 D16 R17 R16 Q17 P16 O17 O3 N18 O16 P3 O4 Q6 K4 R9",D16,Q16 Q4 D16 
2,B,43.82,56.18,Q16,"Q16 Q3 R5 O4 C17 D17 C16 C14 C15 D15 B14 C3 D3 C4 C6 C5 D5",R4,Q16 C17 Q4 R4 Q3 
3,W,43.17,56.83,Q16,"Q16 R17 R16 Q17 P16 O18 C6 O4 C3 C4 D3 E4 B4 B5 B3 C17 C16 D17 E16 E17",Q16,Q16 R16 R17 Q17 
4,B,43.66,56.34,R17,"R17 R16 Q17 P16 O18 C6 O4 C3 C4 D3 E4 B4 B5 B3 R12 R9 P12 R6 C17 C16 D17",R14,R17 C17 O3 O4 O17 R14 P4 
5,W,42.63,57.37,C3,"C3 D3 C4 D5 B6 M3 Q7 O17 Q14 Q13 P14 R16 R17 R15 Q17 N16",O17,C3 P3 C6 F3 O17 R12 R15 
6,B,43.75,56.25,O4,"O4 C6 C8 F3 F4 G4 F5 C3 C4 D3 G3 E3 H4 E4 E5 B4",L4,O4 C17 O3 R16 C14 P4 F17 
7,W,41.29,58.71,C6,"C6 F3 C14 P4 R11 R9 Q9 Q8 Q10 R16 R17",C6,C6 C3 Q4 C14 P4 R11 Q7 F17 
8,B,41.70,58.30,F3,"F3 R11 C17 C16 D17 F17 E17 E16 F18",F3,F3 C17 F4 C5 P4 C14 R16 D6 O4 F17 
9,W,40.25,59.75,P4,"P4 Q3 Q7 R6 Q6 R7 Q8 C17 C16 D17 F17 E17 E16 F18",C13,P4 C14 F17 C4 R11 Q4 Q7 R15 P3 
10,B,42.32,57.68,P4,"P4 R11 Q8 P11 R16 R17 S17 S18 Q12 Q11 S16 Q17 R12",Q10,P4 O4 R16 Q8 P3 Q7 Q3 C8 
11,W,40.59,59.41,P4,"P4 P3 O3 Q3 O6 O2 N3 N2 M3 F17 H17 C8 C4 C3 B3 D5 C5 D6",P4,P4 E6 P3 P9 Q4 
12,B,40.63,59.37,Q3,"Q3 P7 P6 Q5 P3 Q6 O4 O5 N4 E6 F17 H17 C17 E18 B15 C16 D18 E17 B16 D14",Q3,Q3 P3 Q6 
13,W,39.81,60.19,P7,"P7 P6 Q5 P3 O6 O4 O5 N4 M5 N5 N6 M6 L5 M4 M7 L6 K5 L7",P7,P7 P6 Q6 P3 R5 Q7 E6 
14,B,40.69,59.31,P6,"P6 Q5 P3 N4 O7 Q6 P8 Q7 O3 O8 N6 R9 Q8 R8 R10 O4 N8",P6,P6 P3 Q5 R6 N4 Q6 O5 C8 F17 E14 R7 
15,W,39.28,60.72,Q5,"Q5 P3 N4 O7 Q6 P8 Q7 O3 O8 N6 N8 Q8 M6 M5 N5 M7 L6 N7 L3 K4 K3",Q5,Q5 M4 R5 O6 Q7 P3 Q4 Q6 
16,B,39.24,60.76,P3,"P3 N4 O3 Q6 N6 O4 O7 P8 R7 S5 Q7 N3 S4 S7 S8 R6 T7 S6",Q6,P3 Q6 O2 O7 
17,W,39.20,60.80,R5,"R5 O2 R8 Q7 S5 Q8 R9 R10 S3 P3 O4 S4 T4 M3 M5 L5 M6 K7 N3",R5,R5 E4 
18,B,39.42,60.58,O2,"O2 R8 Q7 S5 Q8 R9 R10 S3 C8 E6 C5 B6 E8 E4 E3 C3 D3 C4 D5 B5 D6 P3 P2 N3",P3,O2 P3 
19,W,35.47,64.53,N4,"N4 O3 O4 M2 R8 Q8 S4 R7 S7 S8 S6 R9 R2",O4,N4 O4 S4 O6 
20,B,37.38,62.62,N2,"N2 O6 Q7 M4 O7 M3 N6 L5 K4 M6 N5 O3 O2 M5 J6 S5",O6,N2 O3 Q7 
21,W,29.33,70.67,O3,"O3 S4 M5 L5 M6 M4 N5 K7 M8 R8 L9 C8 C4 C3 B3 D5",O3,O3 R8 S5 S4 R6 R7 
22,B,29.38,70.62,S4,"S4 L2 L3 S5 R8 K2 M2 P2 Q2 M3 N3",S4,S4 S5 R7 R8 Q4 
23,W,28.57,71.43,L2,"L2 K2 M5 L3 L5 R7 J5 M2 M4 M7",M5,L2 M5 S5 P2 N5 O2 R6 R8 N2 
24,B,28.99,71.01,L5,"L5 M4 L3 M7 L6 M6 K8 L9 R8 O9 C8 C4 C3 B3 D5 C5 D6",L5,L5 R7 Q4 R6 R8 
25,W,28.11,71.89,M4,"M4 L3 M7 L6 M6 K8 L9 R8 O9 K9 L10 C8 C4 C3 B3 D5 C5 D6 C2 D3 K10",M4,M4 N7 M6 S5 M7 P2 N6 L6 R8 R6 
26,B,30.41,69.59,L3,"L3 M7 L6 M6 K8 L9 Q7 L8 K9 K10 L10 M10 L11 J10 H9 N11 K12 H10 G9 H12 K14",L3,L3 M6 L6 
27,W,30.13,69.87,M7,"M7 L6 M6 K8 L9 Q7 O9 S6 S5 T5 K9 H8 C4 C3 B3 C5 B4",M7,M7 M6 N7 L6 P2 
28,B,30.29,69.71,L6,"L6 M6 K8 L9 Q7 O9 S6 K9 J9 J8 L8 M8 J10 K11 G9 H8 J6",L6,L6 K7 M6 L7 
29,W,30.11,69.89,M6,"M6 K8 L9 Q7 O9 S6 S5 T5 K9 J9 J10 H9 L8 H10 J11 H11 K7",N7,M6 N7 S5 
30,B,31.80,68.20,K8,"K8 R8 Q8 R9 Q9 S5 R10 M9 C8 C4 C3 B3 D5",K8,K8 O7 R8 R7 Q7 R6 Q4 N5 S5 
31,W,25.92,74.08,R8,"R8 Q8 S5 R9 Q7 O7 P8 O8 Q9 R6 O9 N9 S7 O10 P9 P10 R10 S9 R7 R11",R9,R8 R9 N9 S5 M9 P2 Q8 L9 S7 R6 
32,B,30.59,69.41,Q9,"Q9 Q8 R6 S5 R8 S8 R7 R10 R11 S11 Q11 T4 S3 S7 S6 T6",Q7,Q9 O7 Q7 R7 Q8 R6 R8 
33,W,23.52,76.48,Q9,"Q9 S7 P10 O9 P8 O7 O8 N8 M8 N9 P9 M9 S5 M6",Q9,Q9 S7 S5 P8 S6 S8 P2 
34,B,23.87,76.13,O7,"O7 O8 S7 N9 R10 S10 S11 S8 S5 R11 T10 S9 S12 P10 Q11 P11 Q12 P12 Q13",P9,O7 S8 S7 P9 S5 S6 
35,W,20.01,79.99,S7,"S7 S8 S5 R7 P8 Q8 S9 S6 T4 S3 R11 Q12 S13 R12 S12 R10 S10 Q11 S11 S14 R13",S7,S7 P8 P10 S5 S8 S6 
36,B,20.35,79.65,S8,"S8 S5 R7 P8 Q8 S9 S6 T4 S3 R11 Q12 S13 O7 O8 N8 O9 M8 N6 P10 O10 O11",S8,S8 S5 O7 S6 R10 P8 R6 
37,W,19.85,80.15,S5,"S5 R7 P8 Q8 S9 S6 T4 S3 R11 Q12 S13 O7 O8 N8 O9 M8 N5 P10 O10 Q11 R12",S5,S5 P8 R7 S9 P10 
38,B,20.05,79.95,R7,"R7 S9 S6 T4 S2 P8 Q8 R11 O7 O8 N8 O9 M8 N6 P10 N10 Q12",S9,R7 R8 S9 Q4 S6 Q8 
39,W,17.07,82.93,R10,"R10 Q8 Q11 P10 R11 R8 N9 N10 M10 P13 Q13 Q14 P12 O13 O12 N12 N11 O11 M11",R10,R10 S2 P8 P2 
40,B,18.20,81.80,Q8,"Q8 Q11 P10 R11 R8 N9 O7 Q13 O11 M3 Q14 P13 P14 O13 O14 N13",Q8,Q8 R8 R7 R11 Q11 
41,W,16.15,83.85,Q11,"Q11 P10 R11 R8 N9 M9 P8 N10 P11 N8 O7 N5 M6 N4 M3 N3 N2 O2 L2 P2",Q11,Q11 R11 S2 R12 P10 R8 T4 S3 P2 S10 P8 
42,B,16.10,83.90,P10,"P10 R12 S10 R11 R8 N9 O7 N11 O11 Q14 N12 M11 Q13 R13 Q15 P14 P15 R15",P10,P10 R8 
43,W,15.81,84.19,R12,"R12 S10 N9 R8 R11 O7 N11 O12 Q14 Q13 R13 S14 R15 P14 Q15 P11 S13 M10",R11,R12 R11 R8 T4 S2 S11 S10 P2 S3 
44,B,17.04,82.96,R8,"R8 N9 M9 M10 N10 P8 N8 O7 P12 P11 O12 O11 N11 N12 M11 Q13 Q12 R12",R8,R8 Q4 
45,W,16.20,83.80,N9,"N9 M9 P8 N10 P11 N8 O7 N5 M6 N4 M3 N3 N2 O2 L2 P2 J3 O12 S10 T5 T6 T4 T8 T9 T10 T7 O11 N11 T8",N9,N9 M9 P2 S2 N10 M3 M10 P11 S3 L9 Q13 P8 
46,B,17.15,82.85,M9,"M9 P8 N10 Q13 N8 O7 N5 M6 N4 M3 N3 N2 O2 L2 P2 J3 H3 K3 H4 M8 O9 K7 J5 L9 L10",O8,M9 N10 P12 O7 O8 O11 P11 P13 Q4 N5 M10 M6 Q13 M3 
47,W,12.26,87.74,Q13,"L9 M10 Q13 O11 M3 Q14 P13 P14 O13 P16 P17 N15",Q13,Q13 L9 O7 M3 P2 M10 P11 
48,B,13.34,86.66,O11,"O11 M3 Q4 P5 M9 L2 K2 N2 P2 L1",Q14,O11 M9 Q4 N8 M10 N5 M6 P11 Q14 M3 O12 
49,W,11.22,88.78,O13,"O13 O12 L9 M10 P13 N13 N14 M12 M3 M14 N15 L2 L7",O7,O13 L9 O12 P13 P14 P2 O7 O11 M10 S2 
50,B,14.60,85.40,P8,"P8 L9 M10 O13 O11 M3 P14 O12 N15 M13 L11 P2",P8,P8 P13 
51,W,12.94,87.06,O13,"L9 P13 P12 O13 O12 N12 O11 N8 M8 M10 N11 M9 N10 L10 M12 N5 M6 N4 M3 N3 N2 O2",O13,O13 L9 M10 O12 P13 P2 P14 O11 M3 M9 
52,B,13.51,86.49,M10,"M10 L9 O11 M3 P14 O12 N15 M13 L11 P2",P11,M10 O11 P11 M6 Q4 O12 M9 N8 N5 P12 
53,W,9.75,90.25,L9,"L9 M10 P12 N12 M3 L2 L7 K7 L10 M9 L8",P12,L9 M3 P12 P2 R13 O12 N11 S2 O2 
54,B,15.75,84.25,M9,"M9 M3 N2 O2 P2 L9 L8 M10 M8 N8 N10 O10 N11 O11 O9 O12",N11,M9 N11 Q4 M6 N12 M10 N8 N5 
55,W,7.63,92.37,L9,"L9 M12 M3 P14 N14 N15 M15 N16 M13",L9,L9 M3 P2 S2 S3 R2 
56,B,9.25,90.75,M12,"M12 K9 P14 M13 L13 M14 J9 K11 J10 L11 L12 J11 J13",R13,M12 L11 Q4 N5 N13 R13 M6 M10 K10 O12 
57,W,7.50,92.50,M3,"M3 P14 O12 R12 Q12 S11 S10 T10 O11 N15 M13 S16 M16 J10 K11",O15,M3 K9 P14 P2 S12 N14 O15 M12 S2 
58,B,12.65,87.35,P14,"P14 O12 N10 K9 O14 N14 N15 M13 M15 L12 R12 Q12 S11 N16 M16 M17 L17",P14,P14 M12 O12 S11 R12 Q4 N5 L11 M6 N14 K10 N13 M3 K11 
59,W,11.27,88.73,O12,"O12 O14 M13 N10 K9 N14 M12 L10 J8 K10 J10 J11 H10 K12",O12,O12 N12 O11 O14 M12 P2 Q12 
60,B,11.97,88.03,N10,"N10 K9 K11 M12 L10 J8 O14 M14 R12 Q12 S11 M3",S11,N10 O14 R12 Q4 S11 N5 M6 M9 
61,W,5.84,94.16,M13,"M13 O14 N14 R12 Q12 N5 M6 N4 M3 N3 N2 M2",S10,M13 O14 P2 S10 O11 K9 M12 M3 S12 
62,B,9.06,90.94,R12,"R12 Q12 T10 O14 N10 M3 S16 K9 J9 J10 H10 H11",T10,R12 T10 Q12 N10 
63,W,5.99,94.01,M13,"M13 O14 N14 R12 K9 N15 M15 N16 O16 M16",M13,M13 O14 K9 S12 O11 M12 M3 P2 
64,B,6.85,93.15,O14,"O14 N14 R12 K9 N15 M15 N16 O16 M16 L15 L16 K16 K17 J17 J16 K15 J18 H17",M10,O14 R12 S16 N10 S12 Q4 N5 L11 M6 M12 M3 M10 N8 
65,W,4.45,95.55,M3,"M9 N10 K9 K11 J8 R12 H7 N5 M6 N4 M3 N3",M9,M3 M9 L7 O11 S12 L8 P2 K9 S2 
66,B,4.58,95.42,N10,"N10 K9 K11 J8 R12 H7 N5 M6 N4 M3 N3 N2 M2 P2 N1 O2",N10,N10 R12 O11 S12 N5 M6 
67,W,3.33,96.67,O2,"O2 P2 K9 K11 J8 R12 H7 O14 N14 N15 M15 N16 O16 M16 L15 L17",K9,O2 K9 M3 S12 L10 J10 P2 N2 K11 N5 Q4 S16 Q12 
68,B,4.26,95.74,K11,"K11 O2 S2 J8 K13 H7 K16 M16 F17 S16",L12,K11 Q4 R12 N5 L12 M6 O14 S12 M3 
69,W,2.40,97.60,O2,"M3 J9 J10 H9 H10 G9 K14 J13 G10 F9 F10 E9",K14,O2 M3 P2 J8 H9 K14 S12 H8 S16 H10 K11 S3 L13 Q12 M12 S2 
70,B,4.79,95.21,J9,"Q4 P5 N5 M6 N4 M3 N3 N2 M2 P2 L2 R2 Q2 Q1",R16,J9 J12 Q4 J13 N5 M6 H9 R12 P16 K13 M3 P2 O14 
71,W,3.41,96.59,R17,"R17 Q17 Q18 S17 P17 F17 J8 J17 H7 G6 H6 G5 J4",R17,R17 J8 S12 P2 M3 H9 J12 H8 
72,B,3.81,96.19,Q17,"Q17 Q18 S17 P17 Q4 P5 N5 M6 N4 M3 N3 N2 O2 L2 P2 J3 H4 H3",Q17,Q17 S17 N5 S16 Q4 M6 J9 P16 
73,W,3.51,96.49,Q18,"Q18 S17 P17 H8 M3 N2 O2 M2 H9 G9 H10",Q18,Q18 S16 S12 P17 P2 J8 
74,B,3.62,96.38,S17,"S17 P17 H8 M3 J9 K11 L13 L14 J12 H10",S17,S17 N5 Q4 J9 M6 P17 R12 
75,W,3.64,96.36,P17,"P17 H8 M3 J9 P2 Q2 N2 P1 L2 K2 K11",P17,P17 R18 S12 P2 M3 
76,B,4.20,95.80,J9,"H8 M3 J9 P2 Q2 N2 P1 L2 K2 K11 L13",D13,J9 H8 H9 Q4 F17 N5 M6 J13 R12 M3 C5 J12 D13 S18 P2 G17 R18 N8 O2 N2 E14 L13 
77,W,3.31,96.69,C12,"C12 F17 J8 J17 H7 G5 G6 F5 H5 H4",D12,C12 M3 J8 D12 H9 P2 Q12 C14 D14 S16 S12 H8 S3 
78,B,4.03,95.97,E12,"E12 M3 C14 D14 E13 C15 B14 C12 D11 C11 C10 B10 D10 B9 C8 B8",C14,E12 C14 N5 M6 
79,W,3.66,96.34,D14,"D14 E13 C15 J9 K11 J13 J10 H9 H10 G9 G10 F9 E12 G17",E13,D14 C12 M3 J8 S16 S12 E13 E12 Q12 P2 
80,B,5.72,94.28,D14,"D14 C12 E14 F16 E12 F13 E11 F14 C10 B14 B15 B13 C15 C16 B16",D14,D14 N5 
81,W,5.35,94.65,C12,"C12 E14 F17 E12 F13 E11 C9 G14 M3 G16 G17 H16 G13 H13 G11 H12 F11 E16",C12,C12 E14 M3 J8 P2 E12 S12 
82,B,5.40,94.60,E14,"E14 F17 E12 F13 E11 C9 G14 M3 G16 G17 H16 G13 H13 G11 H12 F11 E16 E17",E12,E14 E12 N5 B15 M6 E15 J9 M3 
83,W,5.69,94.31,E14,"E14 B15 E15 C17 D17 C18 J8 E11 C9 H12 D18 H14 C16 B16 B18 B17 C19 B13 B12",E14,E14 F13 E11 M3 J8 P2 S12 B14 
84,B,6.56,93.44,B15,"B15 E15 C17 D17 C18 D18 F12 D10 E9 D9 E10 M3 L2 J8 J12",B14,B15 B14 E15 N5 M6 E11 
85,W,4.03,95.97,E15,"E15 D10 E11 F12 D11 G10 M3 H12 E10 C17 C16 B16 D17",E15,E15 S12 G13 P2 J8 D10 C17 C10 M3 D15 H9 K11 C9 D17 
86,B,4.78,95.22,D10,"D10 E11 F12 D11 G10 M3 H12 E10 C17 C16 B16 D17 C18 B15 A17",E11,D10 E11 C17 F12 N5 
87,W,3.59,96.41,C9,"C9 C17 C16 B16 D17 B18 C18 B17 J8 H12 H14 J13 J14 L13 L14 G8",C9,C9 C10 D10 P2 S12 
88,B,5.06,94.94,M6,"M6 N6 N5 O5 M3 N4 D9 C8 J11 J8 H9 H8 G8 G7",H12,M6 C17 D9 J12 C10 N5 H11 C11 J11 C8 D8 J9 H12 
89,W,2.78,97.22,M3,"M3 J9 P2 Q2 N2 P1 L2 K2 J10 H9 H10",M3,M3 J8 H9 P2 K11 D10 H10 S12 C17 H8 S2 
90,B,4.75,95.25,C11,"C11 B11 D11 B12 C17 C16 B16 D17 C18 B15 A17 C15 A15 D18 B18 H14 C8 B8 C10 B9 B10 D8",C17,C11 J9 J8 C17 L2 P2 C10 N2 Q4 N5 D9 C8 M6 H9 
91,W,3.10,96.90,C16,"C16 B16 D17 B18 C18 B17 H14 J9 P2 Q2 N2 P1 L2 K2 J10 H9 K7",C16,C16 D17 P2 S12 B15 L2 
92,B,3.14,96.86,B16,"B16 D17 B18 C18 B17 J8 H14 E18 C19 H15 G15 H16 J14 K15 L13",B16,B16 C10 
93,W,3.01,96.99,D17,"D17 B18 C18 B17 S16 R15 S18 R12 Q12 H15 H17 J13 J8 J16 J17 K16 D18",D17,D17 B15 D18 P2 D10 L2 
