move_num,color_next,winrate_B,winrate_W,LZ_next_move,variation,actual_next_move
0,B,43.32,56.68,Q4,"Q4 D16 D4",C4
1,W,42.92,57.08,D16,"D16 Q4 Q16 F4",D16
2,B,42.91,57.09,Q4,"Q4 Q16 F4 R3 R4 Q3",R3
3,W,42.56,57.44,Q17,"Q17 R15 E3",R16
4,B,43.14,56.86,P17,"P17 Q17 P16 R14 F17 C14",F3
5,W,42.76,57.24,O17,"O17 C17 C16 D17 F17",O16
6,B,43.03,56.97,C17,"C17 C16 D17 F17 E17",C17
7,W,42.53,57.47,D4,"D4 D5 D17 C16 C14",D17
8,B,44.19,55.81,C16,"C16 C14 C15 D15 B14 D4",C16
9,W,42.91,57.09,D15,"D15 B14 D4 D3 C5 B4 E5 E4 D5",C14
10,B,44.55,55.45,C15,"C15 D15 B14 D4 D3 C5 E4 D5 B4",C15
11,W,43.07,56.93,D15,"D15 B14 D4 D3 C5 E4 D5 B4",D15
12,B,43.24,56.76,B14,"B14 D4 D3 C5 E4 D5 B4 E5",B14
13,W,42.31,57.69,D4,"D4 D5 C3 D3 E4 E3 C5 B4 D6 E5 F4",C18
14,B,43.15,56.85,B18,"B18 B15 D18 B17 C19 B16 C18 B13 D14 C13 F17 F14 H16 C6 E14",B18
15,W,43.61,56.39,B15,"B15 D18 B17 C19 B16 C18 B13 D14 C13 F17 F14 H16 C6 E14 E13 E15 D13 E5",B13
16,B,43.1,56.9,D18,"D18 E18 C13 D14 B12 D19 A13",D18
17,W,43.45,56.55,E18,"E18 C13 D14 B12 D19 A13 L16 R10 Q10",E18
18,B,42.54,57.46,C13,"C13 D14 B12 D19 A13 L16 R10 Q10 R9 Q11 R12",D14
19,W,44.19,55.81,C13,"C13 C19 E14 R10 F11 O4 C6 E5 B4 C3 E7 F10",C13
20,B,44.13,55.87,C19,"C19 E14 M17 F11 Q16 Q15 Q17 R17 R18",C19
21,W,43.75,56.25,E14,"E14 M17 F11 Q16 Q15 Q17 R17 R18 R14",E14
22,B,44.36,55.64,M17,"M17 F11 Q16 Q15 Q17 R17 R18 R14 P18 C6",Q10
23,W,42.98,57.02,F11,"F11 O4 R8 R6",F11
24,B,42.54,57.46,O4,"O4 R8 R6 P8 O10 N8",D8
25,W,39.21,60.79,R8,"R8 R6 P8 P6 P4",R8
26,B,41.53,58.47,R6,"R6 P8 P6 P4 M4 N5 M5",R6
27,W,41.01,58.99,P8,"P8 P6 Q12 O10 N8 M10 M4",P8
28,B,42.18,57.82,P6,"P6 Q12 O10 N8 M10 M4 K3 P4 N6",R9
29,W,38.63,61.37,Q5,"Q5 S8 Q3 Q2 P3",Q5
30,B,39.24,60.76,S8,"S8 Q3 Q2 P3 P2 R4 O3",Q6
31,W,36.78,63.22,Q3,"Q3 Q4 P4 R4 P6 P3",Q3
32,B,36.02,63.98,Q4,"Q4 P4 R4 P6 P3 O3 Q2 P10 P11",R4
33,W,35.19,64.81,P6,"P6 Q4 P4 P3 O3 Q2 P10 P11 O10 R14",Q4
34,B,37.93,62.07,P6,"P6 Q9 R10 R5 S5 S6 S7 S4 T6",P6
35,W,36.11,63.89,Q9,"Q9 R10 R5 S5 S6 S7 S4 T6 S3 O9",Q9
36,B,38.24,61.76,P9,"P9 Q8 R10 R5 S5 S4 S3 S6",P9
37,W,37.95,62.05,Q8,"Q8 R10 R5 S5 S4 S3 S6 T4",Q8
38,B,39.02,60.98,R10,"R10 R5 S5 S4 S3 S6 T4 S7",R10
39,W,38.36,61.64,O9,"O9 P10 R5 S5 S6 S7 S4",R5
40,B,39.58,60.42,S5,"S5 S6 S7 S4 T6 S3 O9 O8 N8 N7 O7",S5
41,W,35.86,64.14,S6,"S6 S7 S4 T6 S3 O9 O8 N8 N7 O7 N9 M8 P10 O10",S6
42,B,35.83,64.17,S7,"S7 S4 T6 S3 O9 O8 N8 N7 O7 N9 M8 P10 O10 P11 O11 P12",S7
43,W,35.56,64.44,S4,"S4 T6 S3 O9 O8 N8 N7 O7 D6 C6 D4 C5 E3 F4",S4
44,B,35.65,64.35,T6,"T6 S3 O9 O8 N8 N7 O7 D6 C6 D4 C5 E3 F4",T6
45,W,35.88,64.12,S3,"S3 O9 O8 N8 N7 O7 D6 C6 D4 C5 E3 F4",S3
46,B,36.45,63.55,O9,"O9 D6 F8 F6 E5 E6 H8",O9
47,W,33.76,66.24,D6,"D6 C6 D4 C5 D3 D5 F4",R13
48,B,38.48,61.52,Q17,"Q17 R17 Q14 Q13 Q16 R14 P18 N17 R18 S18",M17
49,W,35.56,64.44,O18,"O18 D11 E12 F13 E13",P11
50,B,41.04,58.96,Q12,"Q12 O8 N8",O8
51,W,34.13,65.87,O18,"O18 J17 H3 F5 L4",N17
52,B,37.37,62.63,M16,"M16 K16 N14 L14 Q14 R14",M16
53,W,37.42,62.58,H3,"H3 F5 K4 M3 K16 N14 L14 Q14",P10
54,B,34.42,65.58,R12,"R12 Q12 S12 S13 Q13 P13 Q14 P14 Q15",P17
55,W,27.05,72.95,N18,"N18 R17 Q16 Q17",N18
56,B,28.92,71.08,R17,"R17 Q16 Q17 P16 S16 S15",R17
57,W,26.24,73.76,Q16,"Q16 Q17 P16 S16 S15 S17 S8 S9 T8",Q16
58,B,27.86,72.14,Q17,"Q17 P16 S16 S15 S17 S8 S9 T8 S11 Q11 S13",Q17
59,W,24.82,75.18,P16,"P16 S16 S15 S17 S8 S9 T8 S11 Q11 S13 S14",P16
60,B,24.71,75.29,S16,"S16 S15 S17 S8 S9 T8 S11 Q11 S13 S14",S16
61,W,24.96,75.04,S15,"S15 S17 S8 S9 T8 S11 Q11 S13 S14 S12",S8
62,B,24.36,75.64,S9,"S9 S15 S17 T8",T8
63,W,21.79,78.21,S9,"S9 S10 S15 S17",S15
64,B,24.37,75.63,S17,"S17 J16 S9 N10 Q12",S17
65,W,19.2,80.8,J16,"J16 S9 N10 Q12 O13 L13",O7
66,B,14.08,85.92,P7,"P7 J16 L13",N7
67,W,17.19,82.81,J16,"J16 S9 N10 Q12 O13",J16
68,B,17.19,82.81,S9,"S9 N10 Q12 O13 M9 M10 L9",J15
69,W,18.44,81.56,H16,"H16 L12 N10 K15",K15
70,B,16.44,83.56,K14,"K14 K16 L14 N10 K11",K14
71,W,12.69,87.31,L14,"L14 J14 K16 L13 M13 L12 M12",L14
72,B,12.87,87.13,J14,"J14 K16 L13 M13 L12 M12 M11 N11 M10",K16
73,W,10.24,89.76,L15,"L15 H16 J17",L15
74,B,28.51,71.49,H16,"H16 J17 H17 J18 H18",H16
75,W,13.13,86.87,J17,"J17 H17 J18 H18 L18 E17 H15 J14",J17
76,B,15.45,84.55,H17,"H17 J18 H18 L18 E17 H15 J14 H14",H17
77,W,15.1,84.9,J18,"J18 H18 L18 J14 L13 E17 D13 E16",J18
78,B,17.81,82.19,H18,"H18 L18 J14 L13 E17 D13 E16 C6 D6",H18
79,W,13.15,86.85,L18,"L18 J14 L13 E17 D13 E16 C6 D6 C5 D5 B4",L18
80,B,15.7,84.3,J14,"J14 L13 E17 D13 E16 C6 D6 C5 D5 B4 C3 C8 C9",J14
