move_num,color_next,winrate_B,winrate_W,LZ_next_move,variation,actual_next_move
0,B,43.42,56.58,D4,"D4 Q16 D16 Q4",R4
1,W,42.80,57.20,D4,"D4 Q16 D16",Q16
2,B,43.04,56.96,D4,"D4 D16 O4 C3 C4",C3
3,W,42.98,57.02,D16,"D16 O4 M3 C17",C16
4,B,43.06,56.94,E17,"E17 D17 E16 C14 R14 O17",E17
5,W,43.07,56.93,D17,"D17 E16 C14 R14 O17 O4 J17",P3
6,B,43.56,56.44,D15,"D15 C15 D14 C13 Q6 L4",Q6
7,W,43.48,56.52,D17,"D17 E16 C14 J16 L4 O17",D14
8,B,42.96,57.04,R17,"R17 Q17 R16 R14 R15",O17
9,W,42.86,57.14,R14,"R14 Q17 R17 R18 P17",R14
10,B,42.82,57.18,Q17,"Q17 R17 R18 P17 Q18 P16 P18",Q17
11,W,42.87,57.13,R17,"R17 R18 P17 Q18 P16 P18 S17 O16 N18 O18",R17
12,B,42.59,57.41,R18,"R18 P17 Q18 P16 P18 S17 O16 N18 O18 J17",R18
13,W,42.11,57.89,P17,"P17 Q18 P16 P18 S17 O16 N18 O18 J17 L17 D17 D18",P17
14,B,42.23,57.77,Q18,"Q18 P16 P18 S17 O16 N18 O18 J17 L17 D17 D18 C18 D16",Q18
15,W,41.15,58.85,P16,"P16 P18 S17 O16 N18 O18 J17 L17 D17 D18 C18 D16 C17 G17",P16
16,B,41.45,58.55,P18,"P18 S17 O16 N18 O18 J17 L17 D17 D18 C18 D16 C17 G17",P18
17,W,41.27,58.73,S17,"S17 O16 N18 O18 J17 L17 D17 D18 C18 D16 C17 G17",S17
18,B,40.96,59.04,O16,"O16 N18 O18 J17 L17 D17 D18 C18 D16 C17 G17 J15",O16
19,W,40.87,59.13,N18,"N18 O18 J17 M17 D17 D18 C18 L3 J15",N18
20,B,40.61,59.39,O18,"O18 J17 M17 D17 D18 C18 L3 J15 Q3",M17
21,W,42.52,57.48,M18,"M18 L17 L18 O18",M18
22,B,41.83,58.17,L17,"L17 L18 O18 K17 H17 K15",R16
23,W,39.64,60.36,S16,"S16 K17 N17 Q15",S16
24,B,43.85,56.15,K17,"K17 N17 Q15 R15 P15 R16",K17
25,W,38.84,61.16,N17,"N17 Q15 P15 P14 O15 N15",N17
26,B,41.30,58.70,Q15,"Q15 P15 P14 O15 N15 O14",Q15
27,W,45.51,54.49,R15,"R15 P15 R16 O18 L17 K18 M15 N14 K16 J16",P15
28,B,41.18,58.82,P14,"P14 O15 N15 O14 O13 N14 M14 N13",M16
29,W,45.13,54.87,N16,"N16 O15 P14 N15 L18 O18 J17",L4
30,B,47.44,52.56,N16,"N16 L18 O18 H17",J3
31,W,41.55,58.45,D4,"D4 D3 F4 D5 J4 H4 J5",F4
32,B,43.99,56.01,N16,"N16 C5 E3 F3",D6
33,W,43.31,56.69,H4,"H4 J4 J5 H5 J6",J5
34,B,44.78,55.22,C12,"C12 C8 E12 C5 D5 C6",C12
35,W,46.38,53.62,C8,"C8 E12 C5 D5 C6 D7 D8 C4",C8
36,B,45.85,54.15,E12,"E12 C5 D5 C6 D7 D8 C4 F8",E12
37,W,46.05,53.95,C5,"C5 D5 C6 D7 D8 C4 F8 N16",C13
38,B,46.29,53.71,B13,"B13 B14 D13 C14 E8 F16 G17 C10 F10",B13
39,W,46.91,53.09,B14,"B14 D13 C14 E8 F16 G17 C10 F10 C5",B14
40,B,46.94,53.06,D13,"D13 C14 E8 F16 G17 J17 L18 F17",F6
41,W,44.20,55.80,H4,"H4 F2 B12",E7
42,B,48.34,51.66,E6,"E6 B12 N16 G5 N3",E6
43,W,47.76,52.24,H4,"H4 N3 L2 E3 F3",E9
44,B,49.66,50.34,D13,"D13 C14 C7 D3",L3
45,W,47.09,52.91,M3,"M3 M4 L5 N3",M3
46,B,47.88,52.12,M4,"M4 L5 N3 M2 N2 L2",M4
47,W,48.54,51.46,L5,"L5 N3 M2 N2 L2 K3 N4 M5 O3",K3
48,B,52.24,47.76,L2,"L2 K4 K2 N3 G3 G5 M5 F3",L2
49,W,50.32,49.68,K4,"K4 K2 N3 H4 H5 G4 G5 F5 E4",K4
50,B,51.04,48.96,K2,"K2 N3 H4 H5 G4 G5 F5 E4 D4 G3",K2
51,W,49.87,50.13,N3,"N3 H4 H5 G4 G5 F5 E4 D4 G3 H3 G2",N3
52,B,52.27,47.73,G3,"G3 G5 M5 F3 O4 R3 S3 Q3 S2 P5",J4
53,W,41.09,58.91,H5,"H5 O4 L6 O3 N4",H5
54,B,37.34,62.66,G3,"G3 G4 F3 E4 E3 D4 C4",G4
55,W,42.37,57.63,G5,"G5 G3 F3 F2 E2 G2 F5 D4 D3",D3
56,B,57.99,42.01,D4,"D4 G5 G3",G5
57,W,54.28,45.72,C4,"C4 M5 L6 M6 L7 M7 R3",C4
58,B,55.68,44.32,M5,"M5 L6 M6 L7 M7 R3 S3 S2 R2 Q3",M5
59,W,55.12,44.88,L6,"L6 M6 L7 M7 R3 S3 S2 R2 Q3 T2",L6
60,B,57.12,42.88,M6,"M6 L7 M7 R3 S3 S2 R2 Q3 T2",M6
61,W,56.65,43.35,L7,"L7 Q3 Q2 R2 Q5 R5 P6 M7 Q7 R6 M8",L7
62,B,56.84,43.16,Q3,"Q3 Q2 R2 Q5 R5 P6 M7 Q7 R6 M8 N8 L8",D4
63,W,56.79,43.21,D5,"D5 E4 E3 E5 G3 H4 B3",H4
64,B,70.35,29.65,H3,"H3 G3 H6 J6",H3
65,W,64.12,35.88,G3,"G3 G2 F3 H6 J6 L5",G3
66,B,70.00,30.00,H6,"H6 K5 G2 F3 F2 D5 C5",G2
67,W,60.63,39.37,F3,"F3 H6 J6 L5 K5 J7 K6 F2",F3
68,B,67.19,32.81,H6,"H6 J6 L5 K5 J7 K6 F2 D5 C5 E4",H6
69,W,65.51,34.49,J6,"J6 L5 K5 J7 K6 F2 D5 C5 E4 B4 H7",K5
70,B,64.37,35.63,F2,"F2 D5 C5 E4 B4 C2 D4 E2 M2 C4",F2
71,W,67.90,32.10,D5,"D5 C5 E4 B4 E2 D4 F1 H2 C4 C2 J1",D5
72,B,74.25,25.75,C5,"C5 E4 B4 E2 D4 F1 H2 C4 C2 J1 M2",C5
73,W,73.78,26.22,E4,"E4 B4 E2 D4 F1 H2 C4 C2 J1 M2 N2",E4
74,B,73.39,26.61,B4,"B4 E2 D4 F1 H2 C4 C2 J1 M2 N2",B4
75,W,67.31,32.69,E2,"E2 D4 F1 H2 C4 C2 J1 M2 N2 J2",N16
76,B,68.97,31.03,O15,"O15 P14 N15",O15
77,W,63.23,36.77,P14,"P14 N15 C2 D4",P14
78,B,75.01,24.99,N15,"N15 O18 L18 C2 D4 M15",M7
79,W,61.79,38.21,G7,"G7 G6 L8 N15",M15
80,B,58.58,41.42,L8,"L8 K8 K9 J8",L8
81,W,55.60,44.40,K8,"K8 K9 J8 J6 K7 J9",K8
